full_text,processed_text_sastrawi,label
marah cawapres mentri yg jd cawapres menkopolhukam,marah cawapres tri yg jd cawapres menkopolhukam,positif
mahfud md resmi diumumkan cawapres ganjaar pranowo diumumkan langsung ketua pdip megawati soekarnoputri,mahfud md resmi umum cawapres ganjaar pranowo umum langsung ketua pdip megawati soekarnoputri,netral
anakanak keberadaan cawapres prabowo gibran rakabuming raka prabowo subianto,anakanak ada cawapres prabowo gibran rakabuming raka prabowo subianto,positif
kalo tdk knp gerombolan pecundang spt diam bego pura bego oya lg tdk bcr uud pasal a uu pemilu rakyat tdk gibran maju tdk sbg cawapres ya tp yg culas yg protes,kalo tdk knp gerombol cundang spt diam bego pura bego oya lg tdk bcr uud pasal a uu milu rakyat tdk gibran maju tdk sbg cawapres ya tp yg culas yg protes,positif
klo kiat rujuk dlu bg sajak jdi cawapres basandiang baliak klo manang klo kalah adoi surang tantu gitu jdinyo istri yg tu samping suami suka duka,klo kiat rujuk dlu bg sajak jdi cawapres basandiang baliak klo manang klo kalah adoi surang tantu gitu jdinyo istri yg tu samping suami suka duka,positif
capres cawapres kumpulkan ilmuwan mempercepat penguasaan sains teknologi,capres cawapres kumpul ilmuwan cepat kuasa sains teknologi,negatif
melaporkan hakim mk mk memutus gugatan syarat usia minimal caprescawapres gugatan dikabulkan mk anak presiden jokowi gibran memenuhi syarat cawapres,lapor hakim mk mk putus gugat syarat usia minimal caprescawapres gugat kabul mk anak presiden jokowi gibran penuh syarat cawapres,positif
komisi ii dprkpu ri setujui revisi pkpu usia caprescawapres,komisi ii dprkpu ri tuju revisi pkpu usia caprescawapres,netral
capres cawapres kadrun,capres cawapres kadrun,positif
keputusan prabowo diambil mahkamah konstitusi mengabulkan gugatan uji materiil kepala daerah maju capres cawapres berusia prabowo subianto,putus prabowo ambil mahkamah konstitusi kabul gugat uji materiil kepala daerah maju capres cawapres usia prabowo subianto,positif
prabowo menggandeng wali kota solo putra sulung presiden jokowi gibran rakabuming raka cawapres melaju pilpres prabowo subianto,prabowo gandeng wali kota solo putra sulung presiden jokowi gibran rakabuming raka cawapres laju pilpres prabowo subianto,positif
capres cawapres manfaatkan sdm negeri percepat pemguasaan sains teknologi kumpulkan ilmuwan,capres cawapres manfaat sdm negeri cepat pemguasaan sains teknologi kumpul ilmuwan,positif
saleh menampik pengurusan skck erick berkas pendaftaran cawapres prabowo subianto,saleh tampik urus skck erick berkas daftar cawapres prabowo subianto,netral
menurutnya mendukung pasangan caprescawapres prabowo subianto,turut dukung pasang caprescawapres prabowo subianto,netral
partai amanat nasional pan kukuh mengusung erick cawapres prabowo prabowo subianto,partai amanat nasional pan kukuh usung erick cawapres prabowo prabowo subianto,positif
capres cawapres manfaatkan sdm negeri percepat pemguasaan sains teknologi,capres cawapres manfaat sdm negeri cepat pemguasaan sains teknologi,positif
capres cawapres seasik sekeren prabowo gibran is the best relawan ganjar,capres cawapres seasik keren prabowo gibran is the best rawan ganjar,positif
pasangan capres cawapres manfaatkan sdm negeri percepat pemguasaan sains teknologi pake sdm negeri,pasang capres cawapres manfaat sdm negeri cepat pemguasaan sains teknologi pake sdm negeri,negatif
elektabilitas hasil simulasi pasangan caprescawapres perubahan signifikan prabowo subianto,elektabilitas hasil simulasi pasang caprescawapres ubah signifikan prabowo subianto,negatif
saiful mujani elektabilitas cawapres tergolong minim prabowo subianto,saiful mujani elektabilitas cawapres golong minim prabowo subianto,positif
berharap mkmk putuskan gibran batal cawapres percayalah gak,harap mkmk putus gibran batal cawapres percaya gak,positif
capres cawapres berani sikat koruptor prof ganjar presiden,capres cawapres berani sikat koruptor prof ganjar presiden,positif
capres cawapres mengunakan sdm negeri pengetahuan sains teknologi kedepanya semkin maju,capres cawapres mengunakan sdm negeri tahu sains teknologi depa semkin maju,negatif
capres cawapres mengunakan sdm negeri pengetahuan sains teknologi,capres cawapres mengunakan sdm negeri tahu sains teknologi,negatif
enaknya anak presiden banting pintu beliin iphone cawapres,enak anak presiden banting pintu beliin iphone cawapres,positif
pemilu curang anak lurah jd cawapres jk pemilu bersihamp jujur impeach lurah sbg akar bangsa inihy pdip yg angkat penguasa amp pdip jg yg hrs penguasa,milu curang anak lurah jd cawapres jk milu bersihamp jujur impeach lurah sbg akar bangsa inihy pdip yg angkat kuasa amp pdip jg yg hrs kuasa,positif
ahy ngaku cawapres prabowo fokus kemenangan lrx pdemokrat agusyudhoyono demokrat bareng rakyat,ahy ngaku cawapres prabowo fokus menang lrx pdemokrat agusyudhoyono demokrat bareng rakyat,positif
ya rame pas gugatan ajukan mk rame kubu pdip buzzernya ketua mk paman gibran gugatan biar gibran jd cawapres dll rame pas gibran nolak jd cawapres ganjar mah cm sakit hati doang namanya tp bawa rakyat wkwk kocak,ya rame pas gugat aju mk rame kubu pdip buzzernya ketua mk paman gibran gugat biar gibran jd cawapres dll rame pas gibran nolak jd cawapres ganjar mah cm sakit hati doang nama tp bawa rakyat wkwk kocak,positif
monggo mas bahan renungan moral dilanggar pencalonan cawapres,monggo mas bahan renung moral langgar calon cawapres,positif
de facto keanggotaan gibran pdi perjuangan pendaftarannya resmi cawapres kim koalisi indonesia maju prabowo subianto,de facto anggota gibran pdi juang daftar resmi cawapres kim koalisi indonesia maju prabowo subianto,positif
calon wakil presiden cawapres pendamping prabowo subianto prabowo subianto,calon wakil presiden cawapres damping prabowo subianto prabowo subianto,positif
gibran rakabuming batal cawapresprabowo subianto temui erick thohir,gibran rakabuming batal cawapresprabowo subianto temu erick thohir,netral
ntu die perasaan kpu aja umumkan peresmian capres cawapres kampanye,ntu die asa kpu aja umum resmi capres cawapres kampanye,positif
ketua bawaslu ri rahmat bagja jajarannya mengawasi program kerja menteri terlibat mendukung calon presiden capres calon wakil presiden cawapres kontestasi pemilihan presiden pilpres,ketua bawaslu ri rahmat bagja jajar awas program kerja menteri libat dukung calon presiden capres calon wakil presiden cawapres kontestasi pilih presiden pilpres,positif
pasangan capres cawapres ganjar mahfud manfaatkan sdm negeri percepat pemguasaan sains teknologi kedepanya,pasang capres cawapres ganjar mahfud manfaat sdm negeri cepat pemguasaan sains teknologi depa,positif
teman alinea perebutan suara jelang pilpres seru dideklarasi jd cawapres situ kuat gimana serunya cek,teman alinea rebut suara jelang pilpres seru deklarasi jd cawapres situ kuat gimana seru cek,positif
prabowo capres maju pilpres gibran rakabuming raka cawapres prabowo subianto,prabowo capres maju pilpres gibran rakabuming raka cawapres prabowo subianto,positif
mertua gibran memenuhi syarat cawapres,mertua gibran penuh syarat cawapres,netral
namanya disodorkan partai amanat nasional pan cawapres kim prabowo subianto,nama sodor partai amanat nasional pan cawapres kim prabowo subianto,positif
elite gerindra klaim erick thohir legawa dipilih cawapres prabowo prabowo subianto,elite gerindra klaim erick thohir legawa pilih cawapres prabowo prabowo subianto,positif
lo pikir si culun calon resmi cawapres ileggal dr sang paman yg ngebet kuasa rubah uu leggalkan skor woee pemuja berhala ape otak lu sengklek,lo pikir si culun calon resmi cawapres ileggal dr sang paman yg ngebet kuasa rubah uu leggalkan skor woee puja berhala ape otak lu sengklek,positif
pertemuan perdana prabowo gibran rakabuming raka mendaftarkan capres cawapres kpu prabowo subianto,temu perdana prabowo gibran rakabuming raka daftar capres cawapres kpu prabowo subianto,positif
gibran cawapres suara pdip jawa terbelah,gibran cawapres suara pdip jawa belah,netral
gw ragu dah sm capres cawapres skrng ngurusin pembangunan jawa engga tuh kelaparan kemarin ad yg bahas segi pertaniannya kemarin aja tuh menteri pertanian digrebek ott kpk gak sih gw pindah wn pusing ribut mulu,gw ragu dah sm capres cawapres skrng ngurusin bangun jawa engga tuh lapar kemarin ad yg bahas segi tani kemarin aja tuh menteri tani digrebek ott kpk gak sih gw pindah wn pusing ribut mulu,positif
capres cawapres ganjarmahfud memanfaatkan sdm negeri mempercepat penguasaan sains teknologi,capres cawapres ganjarmahfud manfaat sdm negeri cepat kuasa sains teknologi,negatif
capres cawapres ganjarmahfud optimis riset pelaksanaan program pemerintah sesuai kebutuhan masyarakat berkelanjutan,capres cawapres ganjarmahfud optimis riset laksana program perintah sesuai butuh masyarakat lanjut,negatif
capres cawapres ganjarmahfud mengumpulkan ilmuan mempercepat penguasaan sains teknologi,capres cawapres ganjarmahfud kumpul ilmu cepat kuasa sains teknologi,negatif
capres cawapres ganjarmahfud mempercepat penguasaan sains teknologi percepatan riset inovasi berdikari,capres cawapres ganjarmahfud cepat kuasa sains teknologi cepat riset inovasi berdikari,negatif
nih bang over brati ya,nih bang over brati ya,netral
blakblakan capres cawapres ganjarmahfud mengaku bersebrangan kekuasaan berbeda jalan kontestasi pilpres,blakblakan capres cawapres ganjarmahfud aku bersebrangan kuasa beda jalan kontestasi pilpres,positif
orang sunda terkenal taat beragama gak cocok memilih caprescawapres suka nonton film parno merasakan bersalah,orang sunda kenal taat agama gak cocok pilih caprescawapres suka nonton film parno rasa salah,positif
ketua dpp pdip ahmad basarah gibran pembangkangan cawapres prabowo prabowo subianto,ketua dpp pdip ahmad basarah gibran bangkang cawapres prabowo prabowo subianto,netral
kesempatan pidato politik pertamanya cawapres gibran merespons terkait statusnya kader pdip prabowo subianto,sempat pidato politik pertama cawapres gibran respons kait status kader pdip prabowo subianto,positif
gibran perdana muncul cawapres prabowo absen sesi deklarasi prabowo subianto,gibran perdana muncul cawapres prabowo absen sesi deklarasi prabowo subianto,netral
koalisi indonesia maju mendaftarkan prabowogibran kpu caprescawapres oktober prabowo subianto,koalisi indonesia maju daftar prabowogibran kpu caprescawapres oktober prabowo subianto,positif
prabowo subianto gibran rakabuming resmi mendaftar capres cawapres kpu rabu prabowo subianto,prabowo subianto gibran rakabuming resmi daftar capres cawapres kpu rabu prabowo subianto,positif
prabowo koalisi indonesia maju memilih putra presiden joko widodo gibran rakabuming raka cawapres prabowo subianto,prabowo koalisi indonesia maju pilih putra presiden joko widodo gibran rakabuming raka cawapres prabowo subianto,positif
